25000.00, 0.00
50000.00, 0.00
75000.00, 0.00
100000.00, 0.00
125000.00, 0.00
150000.00, 0.00
175000.00, 0.00
200000.00, 0.00
225000.00, 0.00
250000.00, 0.00
275000.00, 0.00
300000.00, 0.00
325000.00, 0.00
350000.00, 0.00
375000.00, 0.00
400000.00, 0.00
425000.00, 0.00
450000.00, 0.00
475000.00, 0.00
500000.00, 0.00
525000.00, 2500.00
550000.00, 5000.00
575000.00, 7500.00
600000.00, 10000.00
625000.00, 12500.00
650000.00, 15000.00
675000.00, 17500.00
700000.00, 20000.00
725000.00, 22500.00
750000.00, 25000.00
775000.00, 28750.00
800000.00, 32500.00
825000.00, 36250.00
850000.00, 40000.00
875000.00, 43750.00
900000.00, 47500.00
925000.00, 51250.00
950000.00, 55000.00
975000.00, 58750.00
1000000.00, 62500.00
1025000.00, 67500.00
1050000.00, 72500.00
1075000.00, 77500.00
1100000.00, 82500.00
1125000.00, 87500.00
1150000.00, 92500.00
1175000.00, 97500.00
1200000.00, 102500.00
1225000.00, 107500.00
1250000.00, 112500.00
1275000.00, 118750.00
1300000.00, 125000.00
1325000.00, 131250.00
1350000.00, 137500.00
1375000.00, 143750.00
1400000.00, 150000.00
1425000.00, 156250.00
1450000.00, 162500.00
1475000.00, 168750.00
1500000.00, 175000.00
1525000.00, 182500.00
1550000.00, 190000.00
1575000.00, 197500.00
1600000.00, 205000.00
1625000.00, 212500.00
1650000.00, 220000.00
1675000.00, 227500.00
1700000.00, 235000.00
1725000.00, 242500.00
1750000.00, 250000.00
1775000.00, 257500.00
1800000.00, 265000.00
1825000.00, 272500.00
1850000.00, 280000.00
1875000.00, 287500.00
1900000.00, 295000.00
1925000.00, 302500.00
1950000.00, 310000.00
1975000.00, 317500.00
2000000.00, 325000.00
2025000.00, 332500.00
2050000.00, 340000.00
2075000.00, 347500.00
2100000.00, 355000.00
2125000.00, 362500.00
2150000.00, 370000.00
2175000.00, 377500.00
2200000.00, 385000.00
2225000.00, 392500.00
2250000.00, 400000.00
2275000.00, 407500.00
2300000.00, 415000.00
2325000.00, 422500.00
2350000.00, 430000.00
2375000.00, 437500.00
2400000.00, 445000.00
2425000.00, 452500.00
2450000.00, 460000.00
2475000.00, 467500.00
2500000.00, 475000.00
